"id","application_id","name","type","geojson"
"3cbd53d5-8746-4903-acb1-f99030ee5201","f65560ac-0be5-40cb-b584-b65fb70a7574","S1-02","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.342834234237671, 39.4791056694643]}, ""properties"": {""name"": ""S1-02"", ""type"": ""Physical"", ""dev_eui"": ""2cf7f1c061300637"", ""feature"": ""Marker"", ""category"": ""SenseCAP-S2120"", ""dev_name"": ""sen-001"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Sensecap-SENSECAPS2120-8-IN-1""}}"
"3e71047b-6544-4a8a-8e00-4f3a594a5a18","7c13db9b-8d96-4100-8cea-6466ac631353","LLMS01-16","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.342211961746217, 39.478738175554746]}, ""properties"": {""name"": ""LLMS01-16"", ""type"": ""Physical"", ""dev_eui"": ""a840414b8188cc12"", ""feature"": ""Marker"", ""category"": ""Dragino-LLMS01"", ""dev_name"": ""LLMS01-16"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LLMS01""}}"
"3f5ded37-2d02-4adf-ab19-43a6d978f792","00ba414a-ab4f-448d-9730-e188580d6b6a","LSE01-30","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.6650305980909, 38.86099922832844]}, ""properties"": {""name"": ""LSE01-30"", ""type"": ""Physical"", ""dev_eui"": ""a84041bdb1882c3d"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-30"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"42847139-8e10-49c5-b01e-48458c673cd0","bb57ca71-27ad-4506-833f-5639986f2345","LSE01-09","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.695466995239258, 38.9978998427986]}, ""properties"": {""name"": ""LSE01-09"", ""type"": ""Physical"", ""dev_eui"": ""a8404199d187e646"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-09"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"42e3d6c4-859f-4084-bef5-2f3d296ed7cd","bb57ca71-27ad-4506-833f-5639986f2345","LSE01-14","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.6982672214508066, 38.9970491367707]}, ""properties"": {""name"": ""LSE01-14"", ""type"": ""Physical"", ""dev_eui"": ""a84041ffa1882c2d"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-14"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"4564a616-d9d5-44e7-b039-5c4c8455d367","2e225144-f8bc-4af7-a7d4-2f4a4ee4a3ce","Marker0015","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.6670382022857675, 38.855933045188785]}, ""properties"": {""name"": ""Marker0015"", ""type"": ""Physical"", ""dev_eui"": ""-"", ""feature"": ""Marker"", ""category"": ""Contadores"", ""dev_name"": ""-"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""-""}}"
"4755bf2e-b964-4be4-89a5-64b51fa56732","bb57ca71-27ad-4506-833f-5639986f2345","LLMS01-05","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.696475505828857, 38.99905040079447]}, ""properties"": {""name"": ""LLMS01-05"", ""type"": ""Physical"", ""dev_eui"": ""a84041c83188cc07"", ""feature"": ""Marker"", ""category"": ""Dragino-LLMS01"", ""dev_name"": ""LLMS01-05"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LLMS01""}}"
"477b1dfb-fae7-4a08-b5b7-0996d40a07ab","00ba414a-ab4f-448d-9730-e188580d6b6a","LSE01-31","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.671511996738845, 38.854881933879746]}, ""properties"": {""name"": ""LSE01-31"", ""type"": ""Physical"", ""dev_eui"": ""a840410aa1882c3e"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-31"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"4b66cb5b-6802-435c-8213-50a3712bc05e","6194aab3-0730-4558-b5d6-64c56a0012a1","LHT65N-01","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.341970562934876, 39.47826604378795]}, ""properties"": {""name"": ""LHT65N-01"", ""type"": ""Physical"", ""dev_eui"": ""a84041b721880197"", ""feature"": ""Marker"", ""category"": ""Dragino-LHT65N"", ""dev_name"": ""LHT65N-01"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT65N""}}"
"51b2520d-98fd-4a21-9e4b-9de1e3b5a97c","2e225144-f8bc-4af7-a7d4-2f4a4ee4a3ce","Marker0002","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.667183041572572, 38.85533947934131]}, ""properties"": {""name"": ""Marker0002"", ""type"": ""Physical"", ""dev_eui"": ""-"", ""feature"": ""Marker"", ""category"": ""Contadores"", ""dev_name"": ""-"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""-""}}"
